Employee_ID,Department,Job_Title,Job_Level,Location,Years_Service,Current_Salary,Performance_Rating
E0001,Information Technology,IT Support Analyst,L1,Halifax,14,48700.0,4
E0002,Human Resources,HR Advisor,L3,Halifax,10,80500.0,3
E0003,Policy & Research,Senior Policy Analyst,L3,Halifax,20,81300.0,5
E0004,Information Technology,IT Support Analyst,L1,Halifax,0,58200.0,3
E0005,Operations,Operations Assistant,L1,Halifax,11,35300.0,1
E0006,Information Technology,Senior Systems Analyst,L3,Halifax,14,99000.0,3
E0007,Information Technology,Senior Systems Analyst,L3,Halifax,19,94300.0,3
E0008,Policy & Research,Research Assistant,L1,Halifax,6,46700.0,1
E0009,Administration,Administrative Coordinator,L2,Halifax,17,59600.0,3
E0010,Information Technology,IT Support Analyst,L1,Halifax,7,48700.0,1
E0011,Operations,Operations Assistant,L1,Halifax,3,45300.0,3
E0012,Operations,Operations Analyst,L2,Halifax,3,75000.0,3
E0013,Finance,Financial Analyst,L2,Halifax,11,68000.0,5
E0014,Operations,Operations Manager,L3,Halifax,7,88200.0,4
E0015,Policy & Research,Policy Analyst,L2,Halifax,14,58700.0,4
E0016,Information Technology,IT Support Analyst,L1,Halifax,8,50000.0,3
E0017,Policy & Research,Research Assistant,L1,Halifax,6,41300.0,3
E0018,Human Resources,HR Advisor,L3,Halifax,16,71400.0,4
E0019,Human Resources,HR Assistant,L1,Halifax,4,50800.0,5
E0020,Administration,Administrative Coordinator,L2,Halifax,0,56500.0,2
E0021,Operations,Operations Assistant,L1,Halifax,2,49800.0,3
E0022,Human Resources,HR Assistant,L1,Halifax,14,39100.0,4
E0023,Administration,Administrative Assistant,L1,Halifax,13,33000.0,3
E0024,Finance,Finance Assistant,L1,Halifax,18,53700.0,1
E0025,Administration,Administrative Assistant,L1,Halifax,3,43000.0,5
E0026,Human Resources,HR Assistant,L1,Halifax,3,40000.0,5
E0027,Human Resources,HR Advisor,L3,Halifax,1,72900.0,3
E0028,Information Technology,Systems Analyst,L2,Halifax,10,71600.0,3
E0029,Information Technology,IT Support Analyst,L1,Halifax,6,60000.0,5
E0030,Administration,Administrative Assistant,L1,Halifax,8,39300.0,3
E0031,Operations,Operations Manager,L3,Halifax,8,71400.0,3
E0032,Human Resources,HR Analyst,L2,Halifax,8,70800.0,3
E0033,Operations,Operations Assistant,L1,Halifax,19,52900.0,3
E0034,Policy & Research,Research Assistant,L1,Halifax,16,54600.0,3
E0035,Finance,Financial Analyst,L2,Halifax,4,76500.0,3
E0036,Policy & Research,Policy Analyst,L2,Halifax,5,76100.0,3
E0037,Information Technology,Senior Systems Analyst,L3,Halifax,10,100200.0,3
